Time(s),CPU(%),GPU(%),Mem(GB),tps,DRd(kB/s),Dwt(kB/s),DRd(GB/s),DWr(GB/s)
0s,0.1,0,11,0.00,0.00,0.00,0.00,0.00
5s,0.3,0,11,0.00,0.00,2884.00,0.00,0.00
9s,1.9,0,11,0.00,0.00,420.00,0.00,0.00
13s,0.3,0,11,2.00,0.00,0.00,0.00,0.00
18s,0.1,0,11,0.00,0.00,0.00,0.00,0.00
22s,0.2,0,11,0.00,0.00,0.00,0.00,0.00
26s,0.2,0,11,0.00,0.00,0.00,0.00,0.00
31s,0.3,0,11,0.00,0.00,0.00,0.00,0.00
35s,1.2,0,11,961.00,115520.00,4.00,0.11,0.00
39s,10.8,0,13,4325.00,24612.00,0.00,0.02,0.00
44s,0.2,1,14,0.00,208.00,0.00,0.00,0.00
49s,7.0,63,18,15931.00,175664.00,0.00,0.17,0.00
53s,10.3,100,21,6146.00,2032224.00,0.00,1.94,0.00
58s,9.5,87,21,4683.00,2034824.00,0.00,1.94,0.00
62s,9.6,87,21,8028.00,1815388.00,60.00,1.73,0.00
67s,9.9,87,21,49.00,615000.00,0.00,0.59,0.00
71s,10.7,99,21,7861.00,708076.00,0.00,0.68,0.00
75s,10.9,99,21,8345.00,2028980.00,0.00,1.93,0.00
80s,10.7,100,21,8409.00,2014584.00,0.00,1.92,0.00
85s,10.7,100,21,8009.00,2027436.00,64.00,1.93,0.00
89s,10.7,100,21,8322.00,2024244.00,68.00,1.93,0.00
94s,11.3,86,21,3220.00,532660.00,0.00,0.51,0.00
98s,11.0,100,21,8336.00,1759440.00,0.00,1.68,0.00
103s,6.7,62,21,49.00,564952.00,0.00,0.54,0.00
107s,10.4,98,21,8351.00,2027984.00,0.00,1.93,0.00
112s,10.9,100,21,8564.00,2027780.00,0.00,1.93,0.00
117s,10.7,100,21,8754.00,1730732.00,0.00,1.65,0.00
121s,10.6,86,21,8631.00,2018864.00,48.00,1.93,0.00
126s,8.7,99,21,8358.42,2024528.00,40.00,1.93,0.00
131s,11.5,100,21,8805.00,2027276.00,40.00,1.93,0.00
136s,9.6,87,21,696.00,56268.00,0.00,0.05,0.00
140s,9.9,87,21,54.00,1820220.00,44.00,1.74,0.00
145s,9.6,90,21,8566.00,2018408.00,0.00,1.92,0.00
149s,10.5,99,21,8781.00,1576236.00,0.00,1.50,0.00
154s,10.5,99,21,8812.00,2026188.00,0.00,1.93,0.00
159s,9.1,74,21,8901.00,1963764.00,0.00,1.87,0.00
164s,10.7,97,21,8806.00,2029076.00,0.00,1.94,0.00
168s,10.9,100,21,5128.00,1759924.00,0.00,1.68,0.00
173s,9.6,82,21,1373.00,593688.00,0.00,0.57,0.00
177s,9.7,81,21,5612.00,2026144.00,20.00,1.93,0.00
181s,9.6,87,21,8702.00,2027208.00,60.00,1.93,0.00
186s,9.6,99,21,8950.00,2027220.00,68.00,1.93,0.00
191s,10.5,87,21,8671.00,2026316.00,0.00,1.93,0.00
195s,10.2,99,21,8780.00,2019880.00,0.00,1.93,0.00
200s,10.7,100,21,8533.00,2024336.00,0.00,1.93,0.00
204s,10.4,99,21,8818.00,2022956.00,68.00,1.93,0.00
209s,7.2,62,21,3136.00,12524.00,0.00,0.01,0.00
213s,7.8,75,21,9000.00,1459208.00,0.00,1.39,0.00
218s,9.9,76,21,8738.00,2023160.00,0.00,1.93,0.00
222s,8.4,81,21,8881.00,243512.00,48.00,0.23,0.00
227s,11.1,99,21,9173.00,2023124.00,68.00,1.93,0.00
232s,10.5,100,21,8816.00,2012196.00,16.00,1.92,0.00
237s,10.7,88,21,8972.00,2018160.00,0.00,1.92,0.00
242s,10.9,99,21,8788.12,491952.00,0.00,0.47,0.00
247s,8.9,87,21,1175.00,298760.00,0.00,0.28,0.00
251s,10.1,65,21,9058.00,2022880.00,0.00,1.93,0.00
256s,10.8,100,21,8684.00,2021608.00,0.00,1.93,0.00
260s,11.0,94,21,8923.00,2026068.00,0.00,1.93,0.00
