Time(s),CPU(%),GPU(%),Mem(GB),tps,DRd(kB/s),Dwt(kB/s),read(GB/s),Write(gb/s)
0s,2.0,0,10,0.00,61848.00,304.00,0.06,0.00
4s,6.3,0,13,558.00,0.00,0.00,0.00,0.00
9s,3.1,0,15,199.00,2027788.00,140.00,1.93,0.00
13s,11.7,0,21,8134.00,2033376.00,0.00,1.94,0.00
18s,8.3,6,25,8193.00,2040784.00,588.00,1.95,0.00
22s,1.7,0,27,3429.00,20228.00,0.00,0.02,0.00
26s,1.5,1,26,8099.00,2036340.00,0.00,1.94,0.00
31s,24.4,98,28,11273.00,2016648,0.00,1.92322540283203,0.00
37s,22.7,96,29,11248.00,2011548,0.00,1.91836166381836,0.00
43s,26.4,99,30,12531.00,2014628,0.00,1.92129898071289,0.00
47s,16.7,85,29,13379.00,2005084,0.00,1.91219711303711,0.00
52s,19.4,100,30,11410.00,1998600,0.00,1.90601348876953,0.00
57s,16.2,99,29,4083.00,10224.00,0.00,0.01,0.00
62s,9.4,87,28,12024.00,1999112,0.00,1.90650177001953,0.00
67s,16.7,99,29,13645.00,1997940,0.00,1.9053840637207,0.00
71s,15.1,84,31,15303.00,2014260,72.00,1.92094802856445,0.00
76s,13.7,75,31,12177.00,2017980,44.00,1.92449569702148,0.00
80s,19.6,99,30,10029.00,2022068,0.00,1.92839431762695,0.00
85s,16.9,100,30,10567.00,2006276,0.00,1.91333389282227,0.00
90s,17.2,100,30,11743.00,2016940,88.00,1.92350387573242,0.00
94s,9.9,75,28,1791.00,269328.00,0.00,0.26,0.00
99s,17.8,75,29,12440.00,2010584,0.00,1.91744232177734,0.00
103s,17.4,100,30,14670.00,2006800,0.00,1.91383361816406,0.00
108s,22.9,96,32,12847.00,2016732,0.00,1.92330551147461,0.00
113s,13.9,99,29,11868.00,2003744,72.00,1.91091918945313,0.00
117s,14.5,100,30,14204.00,2022380,0.00,1.92869186401367,0.00
121s,13.7,85,30,14236.00,2008612,0.00,1.91556167602539,0.00
126s,13.5,87,30,13521.00,2024588,80.00,1.9307975769043,0.00
131s,10.4,87,29,2308.00,257780.00,0.00,0.25,0.00
135s,17.6,87,31,11265.00,2026448,0.00,1.93257141113281,0.00
139s,19.1,100,30,12912.00,2003716,0.00,1.91089248657227,0.00
144s,16.8,87,30,14148.00,2011184,0.00,1.91801452636719,0.00
148s,14.5,100,30,10574.00,2030088,72.00,1.93604278564453,0.00
153s,19.2,86,31,12030.00,2013628,0.00,1.92034530639648,0.00
159s,17.6,99,30,10085.00,2006696,0.00,1.91373443603516,0.00
164s,15.4,87,31,3289.00,250412.00,52.00,0.24,0.00
169s,6.5,62,29,1609.00,1028408.00,16.00,0.98,0.00
173s,20.3,75,31,10678.00,2020104,0.00,1.92652130126953,0.00
178s,17.5,100,30,11318.00,2016368,64.00,1.92295837402344,0.00
184s,13.9,87,30,12332.00,2013580,40.00,1.9202995300293,0.00
189s,19.1,100,30,12882.00,2012356,0.00,1.91913223266602,0.00
193s,17.2,96,31,10730.00,2015956,0.00,1.92256546020508,0.00
197s,19.9,100,30,11102.97,2024632,0.00,1.93083953857422,0.00
202s,9.1,87,28,1443.00,573760.00,0.00,0.55,0.00
206s,9.2,87,29,6777.00,2023220.00,0.00,1.93,0.00
210s,21.5,100,30,11849.00,2014396,0.00,1.92107772827148,0.00
216s,18.2,100,30,11638.00,2021412,64.00,1.92776870727539,0.00
220s,18.5,96,31,11254.00,2017600,72.00,1.92413330078125,0.00
225s,20.2,87,30,13344.00,2026640,64.00,1.93275451660156,0.00
230s,17.0,99,31,11971.00,2010960,64.00,1.91780090332031,0.00
235s,16.6,100,30,9931.00,1427896.00,0.00,1.36,0.00
239s,12.1,75,29,671.00,431496.00,0.00,0.41,0.00
244s,17.3,87,31,10241.00,2020524,0.00,1.92692184448242,0.00
248s,14.8,93,30,10382.00,2019076,0.00,1.92554092407227,0.00
253s,22.5,100,30,10248.00,2021388,0.00,1.9277458190918,0.00
257s,20.5,74,30,10603.00,2013108,0.00,1.91984939575195,0.00
263s,17.2,100,30,10774.00,2028008,0.00,1.93405914306641,0.00
267s,19.8,99,30,11970.00,2018064,40.00,1.92457580566406,0.00
272s,16.9,87,31,7631.00,12252.00,52.00,0.01,0.00
276s,8.0,75,29,780.00,1246600.00,16.00,1.19,0.00
281s,15.2,100,31,11468.00,2014472,0.00,1.92115020751953,0.00
286s,14.3,87,31,9999.00,2012668.00,0.00,1.92,0.00
290s,17.7,91,30,11583.00,2027288,0.00,1.93337249755859,0.00
295s,14.0,87,30,11880.00,2015768,0.00,1.92238616943359,0.00
300s,13.9,97,29,12483.00,2022804,0.00,1.92909622192383,0.00
305s,16.1,100,30,9822.00,2028332.00,0.00,1.93,0.00
309s,12.1,100,29,1336.00,723120.00,0.00,0.69,0.00
314s,8.9,62,30,1609.00,2020392.00,28.00,1.93,0.00
318s,15.4,87,30,8853.00,2025176.00,60.00,1.93,0.00
323s,17.4,88,30,9351.00,2026280.00,0.00,1.93,0.00
327s,16.6,87,31,9003.00,2028360.00,0.00,1.93,0.00
332s,17.8,87,29,10582.00,2016248,0.00,1.92284393310547,0.00
337s,13.7,100,30,10435.00,2028440,0.00,1.93447113037109,0.00
341s,19.7,87,32,8917.00,2025048.00,0.00,1.93,0.00
346s,11.9,87,30,1253.00,927604.00,0.00,0.88,0.00
351,9.7,87,25,1719.00,0.00,1348.00,0.00,0.00
,,,,,,,0,0
