Time(s)	CPU	GPU	LGPU
238s	0.8	33	0
240s	0.9	33	0
241s	0.8	33	0
242s	0.8	33	0
244s	1.1	34	0
245s	1.7	67	0
246s	2.5	100	0
247s	1.7	66	0
249s	1.6	66	0
250s	1.7	66	0
251s	1.6	66	0
253s	2.1	76	0
254s	2.4	100	0
255s	2.4	100	0
257s	2.4	100	0
258s	3.2	100	99
259s	2.4	100	0
261s	2.4	100	0
262s	2.4	100	0
263s	2.5	100	0
265s	2.4	100	0
266s	2.2	100	0
267s	2.4	100	0
268s	2.4	100	0
270s	6.0	100	0
271s	2.4	100	0
272s	2.5	100	0
274s	2.4	100	0
275s	2.4	100	0
276s	1.6	66	0
278s	2.4	99	0
279s	0.9	33	0
280s	1.6	66	0
282s	1.6	66	0
283s	1.7	66	0
284s	1.6	66	0
286s	1.7	66	0
287s	2.4	100	0
288s	2.4	100	0
289s	2.4	100	0
291s	2.4	100	0
292s	2.5	99	0
293s	2.7	88	57
295s	1.6	66	0
296s	1.6	66	0
297s	1.6	66	0
299s	2.0	84	0
300s	2.5	100	0
301s	3.3	100	46
303s	2.4	100	0
304s	2.4	100	0
305s	2.6	100	0
307s	2.6	100	0
308s	2.5	100	0
309s	2.4	100	0
310s	1.6	66	0
312s	1.6	66	0
313s	2.4	100	0
314s	1.8	69	0
316s	1.6	66	0
317s	1.6	66	0
318s	1.6	66	0
320s	2.4	100	0
321s	2.3	100	0
322s	1.6	66	0
324s	2.7	100	91
325s	1.6	66	0
326s	1.6	66	0
328s	2.3	87	0
329s	2.8	99	93
330s	1.7	66	0
331s	2.5	100	0
333s	0.8	33	0
334s	0.8	33	0
335s	0.8	33	0
337s	1.1	50	0
338s	1.6	66	0
339s	1.6	66	0
341s	2.4	100	0
342s	1.6	66	0
343s	1.6	66	0
345s	2.4	100	0
346s	2.4	100	0
347s	1.6	66	0
349s	1.6	66	0
350s	2.4	100	0
351s	2.4	100	0
352s	2.4	100	0
354s	2.4	100	0
355s	2.3	100	0
356s	3.2	100	80
358s	2.4	100	0
359s	2.4	100	0
360s	3.2	100	90
362s	4.0	99	98
363s	4.0	99	98
364s	2.6	100	0
366s	2.4	100	0
367s	4.1	98	98
368s	4.0	99	99
370s	3.9	99	99
371s	3.9	98	98
372s	4.0	99	99
374s	3.9	99	99
375s	3.8	99	98
376s	4.1	99	99
378s	4.0	99	99
379s	3.9	98	98
380s	4.1	99	99
382s	4.0	99	99
383s	3.8	98	98
384s	3.9	99	99
386s	3.9	99	99
387s	3.8	99	97
388s	4.2	99	99
390s	3.9	99	99
391s	3.7	98	93
392s	4.3	99	98
394s	3.8	99	99
395s	3.8	99	94
396s	4.2	99	99
398s	3.9	99	98
399s	3.9	98	98
400s	4.1	99	99
401s	3.9	99	96
403s	3.7	98	97
404s	4.2	99	99
405s	3.9	99	99
407s	3.7	99	94
408s	4.1	99	98
409s	3.8	99	99
411s	3.9	99	99
412s	4.0	99	95
413s	3.8	99	98
415s	3.8	98	97
416s	4.1	99	99
417s	3.9	99	99
419s	3.8	99	98
420s	4.1	99	99
421s	3.9	99	99
423s	3.9	99	98
424s	4.2	99	98
425s	3.9	99	99
427s	3.9	99	98
428s	4.1	99	98
429s	4.0	99	99
431s	3.8	99	98
432s	4.1	99	99
433s	3.8	99	97
435s	3.7	99	99
436s	4.1	99	99
437s	3.9	99	98
439s	3.8	99	97
440s	4.2	99	99
441s	3.9	99	99
443s	3.9	98	98
444s	4.1	99	99
445s	3.9	99	98
447s	3.8	99	99
448s	3.9	99	99
449s	3.9	99	98
451s	3.8	99	98
452s	4.0	99	99
453s	3.8	98	97
454s	3.9	99	98
456s	4.2	100	99
457s	3.8	99	99
458s	3.8	98	97
460s	4.1	99	99
461s	3.9	99	99
462s	3.8	98	98
464s	4.2	99	99
465s	4.0	99	99
466s	3.6	98	94
468s	4.0	99	99
469s	3.9	99	99
470s	3.9	99	98
472s	4.0	99	98
473s	3.9	99	99
474s	3.9	99	97
476s	4.1	99	99
477s	3.8	98	98
478s	3.8	98	98
480s	4.0	99	99
481s	3.9	99	99
482s	3.9	98	98
484s	4.2	99	99
485s	3.9	99	99
486s	3.8	99	99
488s	4.3	99	99
489s	4.0	99	99
490s	3.8	98	98
492s	4.2	99	99
493s	3.9	99	98
494s	3.9	99	99
496s	4.0	99	99
497s	3.9	99	99
498s	3.9	99	97
499s	4.1	99	99
501s	3.8	99	99
502s	3.9	99	97
503s	4.1	99	99
505s	3.9	99	99
506s	3.9	98	98
507s	4.2	99	99
509s	3.9	99	98
510s	3.8	99	98
511s	4.0	99	99
513s	3.9	99	99
514s	3.7	99	99
515s	4.1	99	99
517s	4.0	99	99
518s	3.6	99	98
519s	4.2	99	98
521s	3.9	99	98
522s	3.9	98	98
523s	4.2	99	99
525s	4.1	99	98
526s	3.8	98	97
527s	4.1	99	99
529s	3.8	99	99
530s	3.8	98	96
531s	4.1	99	99
533s	3.9	99	99
534s	3.8	99	99
535s	4.1	99	99
537s	4.0	99	99
538s	3.9	98	98
539s	4.2	99	97
541s	3.8	99	99
542s	3.8	98	98
543s	4.1	99	98
545s	3.9	99	99
546s	4.1	98	98
547s	4.2	99	99
548s	3.9	99	99
550s	3.7	98	97
551s	4.2	99	99
552s	3.9	98	97
554s	3.7	99	99
555s	4.1	99	99
556s	3.9	99	98
558s	3.7	99	89
559s	4.2	99	99
560s	4.1	99	99
562s	3.8	98	98
563s	4.1	99	99
564s	3.9	99	99
566s	3.7	99	98
567s	4.2	99	99
568s	3.9	99	99
570s	4.0	98	98
571s	4.3	99	99
572s	4.0	99	99
574s	3.9	98	97
575s	4.2	99	98
576s	3.9	99	98
578s	3.8	99	99
579s	4.2	99	99
580s	3.9	99	99
582s	3.8	99	97
583s	4.1	99	99
584s	3.9	99	99
586s	3.8	98	98
587s	4.1	99	98
588s	3.8	99	96
590s	3.8	98	97
591s	4.0	99	99
592s	3.9	99	99
593s	3.8	98	98
595s	4.0	99	99
596s	3.8	99	99
597s	3.9	99	98
599s	4.2	99	99
600s	3.9	99	99
601s	3.8	98	96
603s	4.2	99	99
604s	3.9	99	99
605s	3.8	99	97
607s	4.1	99	99
608s	3.9	99	99
609s	3.8	99	97
611s	4.0	100	99
612s	3.9	99	99
613s	3.7	99	96
615s	6.4	99	99
616s	3.9	99	98
617s	3.8	98	98
619s	4.2	99	98
620s	4.0	99	99
621s	3.9	98	97
623s	4.0	99	99
624s	3.9	99	99
625s	3.8	98	98
627s	4.2	99	98
628s	3.7	99	99
629s	3.9	99	99
631s	4.3	99	99
632s	3.9	99	99
633s	3.9	99	97
635s	4.2	99	99
636s	3.9	99	98
637s	3.8	98	96
639s	4.2	99	99
640s	3.9	99	99
641s	3.9	99	98
643s	4.0	99	99
644s	3.9	99	98
645s	3.9	98	96
646s	4.0	99	98
648s	3.9	99	99
649s	3.9	98	97
650s	4.0	99	99
652s	3.8	99	98
653s	3.8	98	97
654s	3.9	99	98
656s	3.8	99	99
657s	3.8	99	99
658s	4.0	99	99
660s	7.7	99	99
661s	3.9	99	98
662s	4.1	99	96
664s	3.8	99	99
665s	3.8	99	98
666s	4.2	99	99
668s	3.9	99	99
669s	3.9	99	97
670s	4.1	99	99
672s	3.8	99	99
673s	3.6	99	92
674s	4.0	99	99
676s	3.9	99	99
677s	3.7	98	96
678s	3.9	98	92
680s	3.9	98	98
681s	3.9	98	97
682s	4.1	99	95
684s	4.0	99	98
685s	4.1	98	97
686s	4.0	99	99
687s	3.9	99	99
689s	3.9	99	98
690s	4.1	99	98
691s	3.9	99	98
693s	4.1	99	97
694s	4.0	98	98
695s	3.9	99	99
697s	3.9	99	96
698s	4.0	99	99
699s	3.8	99	99
701s	3.9	99	99
702s	4.0	99	99
703s	3.8	99	99
705s	4.8	99	96
706s	4.0	99	97
707s	3.8	99	97
709s	4.0	99	98
710s	4.0	98	97
711s	3.9	99	98
713s	3.9	99	99
714s	4.1	99	97
715s	3.8	99	99
717s	3.8	99	99
718s	4.0	99	99
719s	3.9	99	99
721s	3.9	99	98
722s	3.9	99	95
723s	3.9	99	99
725s	3.9	99	97
726s	4.1	97	95
727s	4.0	99	99
728s	3.8	99	98
730s	3.9	99	99
731s	3.9	99	99
732s	3.8	99	99
734s	3.9	99	98
735s	4.0	99	99
736s	4.1	99	99
738s	3.8	99	99
739s	3.9	99	95
740s	4.1	98	98
742s	3.7	98	98
743s	4.1	99	99
744s	4.0	99	97
746s	3.9	99	99
747s	4.0	99	99
748s	4.0	99	99
750s	3.9	99	99
751s	4.0	99	99
752s	4.1	99	99
754s	3.8	99	98
755s	4.0	99	98
756s	4.0	99	97
758s	3.8	99	98
759s	4.1	99	99
760s	4.1	99	98
762s	3.9	99	99
