Time(s)	CPU	GPU	LGPU
35s	0.1	0	0
37s	7.3	23	20
38s	6.3	0	0
39s	0.2	0	0
41s	54.0	0	0
42s	52.4	0	0
44s	12.1	89	16
45s	3.2	100	99
46s	3.2	99	99
48s	3.2	99	98
49s	3.2	100	100
50s	3.1	100	99
52s	6.6	100	99
53s	3.2	100	100
54s	3.2	100	100
56s	3.2	100	99
57s	3.2	100	99
58s	3.2	100	100
60s	3.1	99	99
61s	3.2	100	100
62s	3.1	100	100
64s	3.2	99	99
65s	3.1	99	99
67s	0.2	0	0
68s	1.7	0	0
69s	54.7	0	0
71s	41.6	10	0
72s	3.2	100	100
74s	3.1	100	100
75s	3.1	99	96
76s	3.2	100	100
78s	3.2	100	100
79s	3.1	100	99
80s	3.2	100	99
82s	3.2	100	100
83s	3.2	99	99
84s	3.2	99	99
86s	3.2	100	100
87s	3.1	100	100
88s	3.1	99	99
90s	3.2	100	99
91s	3.1	100	100
92s	3.1	100	100
94s	0.3	0	0
95s	0.3	0	0
97s	58.4	0	0
98s	50.1	14	0
99s	3.5	100	100
101s	3.2	100	100
102s	3.2	99	99
103s	3.2	100	100
105s	3.2	100	100
106s	3.1	100	99
107s	3.2	99	99
109s	3.2	100	100
110s	3.1	100	99
111s	3.2	100	100
113s	3.2	100	100
114s	3.2	100	99
116s	3.2	99	99
117s	3.1	100	100
118s	3.2	100	100
120s	3.2	100	99
121s	0.4	0	0
122s	0.3	0	0
124s	48.3	0	0
125s	60.1	0	0
126s	15.9	100	59
128s	3.2	99	98
129s	3.1	100	100
131s	3.2	99	99
132s	3.2	99	99
133s	3.2	100	100
135s	3.1	100	100
136s	3.2	100	99
137s	3.2	100	99
139s	3.2	100	100
140s	3.2	99	99
141s	3.2	99	99
143s	3.2	100	100
144s	3.1	100	95
145s	3.1	100	99
147s	3.2	100	100
148s	3.1	100	100
149s	0.2	0	0
151s	43.5	0	0
152s	57.0	0	0
153s	30.0	43	0
155s	3.2	100	96
156s	3.2	100	100
158s	3.2	100	100
159s	3.1	100	99
160s	3.2	100	99
162s	3.2	100	100
163s	3.2	100	100
164s	3.2	100	99
166s	3.2	100	100
167s	3.1	100	100
168s	3.2	100	100
170s	3.2	100	100
171s	3.2	100	100
172s	3.2	100	100
174s	3.2	100	99
175s	3.2	100	100
176s	0.2	0	0
178s	10.9	0	0
179s	56.1	0	0
180s	40.6	4	0
182s	3.6	100	100
183s	3.2	100	100
185s	3.1	100	99
186s	3.1	100	100
187s	3.2	99	99
189s	3.1	100	99
190s	3.2	100	100
191s	3.1	100	96
193s	3.1	100	99
194s	3.2	100	100
195s	3.2	100	100
197s	3.2	100	100
198s	3.2	99	99
199s	3.1	100	100
201s	3.2	100	99
202s	3.2	99	99
204s	0.2	0	0
205s	2.2	0	0
206s	58.9	0	0
208s	48.3	18	0
209s	4.7	100	100
210s	3.1	100	100
212s	3.1	100	100
213s	3.2	99	99
214s	3.2	99	99
216s	3.1	100	100
217s	3.1	99	99
218s	3.1	99	95
220s	3.2	100	100
221s	3.2	100	100
222s	3.2	100	100
224s	3.2	100	100
225s	3.2	100	100
227s	3.1	100	95
228s	3.2	100	100
229s	3.2	100	100
231s	2.8	62	8
232s	0.4	0	0
233s	47.6	0	0
235s	59.2	0	0
236s	16.5	89	0
237s	3.0	100	93
239s	3.1	100	98
240s	3.2	100	100
242s	3.1	100	100
243s	3.2	99	98
244s	3.2	100	99
246s	3.2	100	100
247s	4.9	100	99
248s	3.2	100	98
250s	3.1	100	100
251s	3.2	100	100
252s	3.2	100	100
254s	3.1	100	99
255s	3.2	100	100
256s	3.2	99	99
258s	3.1	99	97
259s	0.2	0	0
260s	10.8	0	0
262s	59.4	0	0
263s	49.0	33	0
264s	4.8	100	99
266s	3.2	100	100
267s	3.2	100	99
269s	3.2	100	100
270s	3.2	100	100
271s	3.1	100	100
273s	3.2	100	100
274s	3.2	100	100
276s	3.1	99	98
277s	4.8	99	99
278s	3.2	100	100
280s	3.2	100	99
281s	3.1	99	99
282s	3.1	100	100
284s	3.2	100	100
285s	3.2	100	100
286s	0.4	0	0
288s	0.3	0	0
289s	46.3	0	0
290s	50.5	0	0
292s	15.4	99	0
293s	3.0	97	94
294s	3.1	99	99
296s	3.2	100	100
297s	3.1	99	98
299s	3.1	99	99
300s	3.1	100	100
301s	3.4	100	99
303s	3.2	100	99
304s	3.2	100	100
305s	3.2	100	100
307s	3.2	100	100
308s	3.2	100	100
309s	3.2	100	100
311s	3.2	99	99
312s	3.2	99	99
313s	3.2	100	100
315s	0.2	0	0
316s	37.3	0	0
318s	55.5	0	0
319s	27.4	84	0
320s	3.0	98	94
322s	6.2	99	99
323s	3.2	100	100
324s	3.2	100	100
326s	3.1	99	99
327s	3.1	100	98
328s	3.2	100	100
330s	3.2	100	100
331s	3.2	100	99
332s	3.1	100	100
334s	3.2	100	100
335s	3.2	100	100
337s	3.2	100	100
338s	3.1	100	99
339s	3.2	100	98
341s	3.2	100	99
342s	0.1	0	0
343s	6.1	0	0
345s	57.7	0	0
346s	43.4	51	0
347s	3.2	100	99
349s	3.1	100	100
350s	3.2	100	98
351s	3.1	100	100
353s	3.2	100	100
354s	3.2	100	100
356s	3.2	100	99
357s	3.1	100	99
358s	3.2	100	100
360s	3.2	99	99
361s	3.2	100	99
362s	3.4	100	100
364s	3.1	100	99
365s	3.2	100	99
366s	3.1	100	100
368s	3.1	100	100
369s	0.7	0	0
370s	0.2	0	0
372s	48.0	0	0
373s	58.7	0	0
375s	17.5	100	0
376s	3.2	99	94
377s	3.2	100	100
379s	3.2	100	100
380s	3.1	100	99
381s	3.2	99	99
383s	3.2	100	100
384s	3.2	100	100
385s	3.1	100	99
387s	3.2	100	100
388s	3.2	100	100
389s	3.2	100	100
391s	3.2	100	100
392s	3.2	100	100
393s	3.1	100	100
395s	3.1	100	100
396s	3.2	100	100
397s	0.2	0	0
399s	40.4	0	0
400s	58.9	0	0
402s	24.4	99	20
403s	3.1	99	99
404s	3.2	100	100
406s	3.2	100	100
407s	3.2	100	99
408s	3.2	100	100
410s	3.1	100	100
411s	3.2	100	99
412s	3.2	99	99
414s	3.2	100	100
415s	3.1	100	97
417s	3.2	100	97
418s	3.2	100	100
419s	3.1	100	100
421s	3.1	100	99
422s	3.2	100	99
423s	3.2	100	100
425s	0.2	0	0
426s	43.4	0	0
427s	57.8	0	0
429s	23.3	59	0
430s	3.2	100	98
431s	3.2	100	99
433s	3.2	100	99
434s	3.1	100	100
436s	3.2	99	98
437s	3.2	100	100
438s	3.1	100	100
440s	3.2	100	100
441s	3.1	99	99
442s	3.2	100	100
444s	3.2	99	99
445s	3.2	100	99
446s	3.1	100	100
448s	3.2	100	100
449s	3.1	100	99
450s	3.1	99	99
452s	0.2	0	0
453s	0.3	0	0
454s	57.5	0	0
456s	50.6	0	0
457s	6.1	100	100
459s	3.2	99	99
460s	3.2	100	99
461s	3.2	100	99
463s	3.2	99	97
464s	3.2	100	100
465s	3.1	99	99
467s	3.1	100	100
468s	3.2	100	100
469s	3.2	100	100
471s	3.2	100	99
472s	3.2	100	99
473s	3.1	100	100
475s	3.1	100	100
476s	3.1	99	99
477s	3.2	100	100
479s	2.6	47	7
480s	0.2	0	0
482s	48.2	0	0
483s	60.1	0	0
484s	19.0	99	0
486s	3.2	99	99
487s	3.2	99	99
489s	3.2	100	100
490s	3.2	99	99
491s	3.1	99	99
493s	3.2	100	100
494s	3.2	100	99
495s	3.2	99	99
497s	3.2	99	99
498s	3.2	100	100
499s	3.1	100	99
501s	3.1	99	98
502s	3.2	100	100
503s	3.2	100	100
505s	3.2	100	99
506s	3.2	100	100
507s	0.2	0	0
509s	34.4	0	0
510s	55.6	0	0
512s	25.2	100	0
513s	3.2	99	98
515s	3.2	100	100
516s	3.1	100	100
517s	3.2	99	99
519s	3.2	99	99
520s	3.2	100	100
521s	3.2	100	99
523s	3.1	100	98
524s	3.2	100	100
525s	3.2	100	100
527s	3.2	100	99
528s	3.2	100	99
529s	3.2	100	100
531s	3.1	100	99
532s	3.2	100	98
533s	3.2	100	100
535s	0.4	0	0
536s	24.7	0	0
537s	53.5	0	0
539s	36.5	32	0
540s	4.2	100	99
542s	3.2	100	100
543s	3.1	99	99
544s	3.2	99	99
546s	3.2	100	100
547s	3.2	100	100
548s	3.2	100	99
550s	3.2	100	100
551s	3.2	100	100
552s	3.2	99	99
554s	3.2	100	98
555s	3.2	100	100
556s	3.2	99	98
558s	3.1	100	100
559s	3.2	100	100
560s	3.2	100	100
562s	1.1	0	0
563s	0.2	0	0
565s	48.5	0	0
566s	62.1	0	0
567s	13.4	100	79
569s	3.7	99	98
570s	3.2	100	100
571s	3.1	100	98
573s	3.1	99	98
574s	3.2	100	99
575s	3.2	100	100
577s	4.6	100	99
578s	3.2	100	99
579s	3.2	100	100
581s	3.1	100	98
582s	3.1	99	99
584s	3.2	100	100
585s	3.2	100	100
586s	3.2	100	99
588s	3.2	100	99
589s	3.1	100	100
590s	0.2	0	0
592s	43.0	0	0
593s	57.3	0	0
