Time(s)	CPU	GPU	LGPU
215s	8.6	27	1
216s	13.5	99	99
218s	12.5	91	89
219s	14.4	98	94
220s	14.1	99	4
222s	14.2	93	0
223s	15.1	99	96
225s	15.3	97	94
226s	15.1	94	90
227s	13.9	99	94
229s	15.2	94	93
230s	14.6	99	94
231s	14.6	93	90
233s	14.8	99	99
234s	13.8	95	75
235s	14.9	96	91
237s	14.5	95	91
238s	15.0	98	94
239s	14.2	97	91
241s	14.7	99	95
242s	15.0	99	99
243s	15.0	100	90
245s	14.0	97	92
246s	15.3	97	93
247s	15.0	97	94
249s	14.7	95	93
250s	14.5	95	93
251s	14.6	99	96
253s	15.0	99	99
254s	14.9	95	70
256s	14.7	96	92
257s	14.9	97	93
258s	14.0	96	10
260s	14.8	95	83
261s	15.2	97	92
262s	14.5	93	90
264s	15.1	96	92
265s	15.2	98	94
266s	14.9	98	91
268s	15.4	95	94
269s	14.5	97	93
270s	14.5	99	99
272s	15.0	98	92
273s	14.3	99	94
274s	14.7	100	99
276s	14.9	93	89
277s	14.2	93	93
278s	14.3	93	91
280s	14.4	97	90
281s	14.0	95	91
282s	14.9	96	92
284s	15.1	96	92
285s	14.6	94	93
287s	14.9	97	92
288s	14.9	99	92
289s	14.8	97	94
291s	14.6	92	90
292s	14.3	96	92
293s	15.3	98	92
295s	14.8	98	93
296s	14.4	97	95
297s	14.4	95	90
299s	14.7	100	99
300s	14.9	99	94
301s	14.8	96	90
303s	14.5	94	91
304s	14.3	93	91
305s	14.7	100	94
307s	14.8	100	99
308s	14.3	99	51
309s	14.7	100	93
311s	14.7	100	97
312s	15.3	95	91
313s	14.1	95	93
315s	15.0	99	94
316s	14.9	99	94
317s	15.4	97	88
319s	16.8	92	90
320s	14.7	95	91
321s	14.4	97	92
323s	14.8	98	93
324s	15.0	97	93
326s	14.7	92	88
327s	14.5	99	96
328s	15.0	91	88
330s	14.7	95	91
331s	14.6	99	92
332s	15.1	93	93
334s	14.6	98	95
335s	14.9	99	93
336s	15.0	99	92
338s	14.9	95	92
339s	15.0	93	92
340s	14.6	99	93
342s	14.5	96	90
343s	14.5	94	91
344s	14.7	97	93
346s	14.4	99	93
347s	15.0	99	94
348s	14.7	96	78
350s	14.7	99	92
351s	14.9	99	94
352s	13.6	97	91
354s	14.6	97	93
355s	14.5	98	92
356s	14.9	100	99
358s	14.1	94	93
359s	15.2	99	93
360s	14.1	97	0
362s	14.4	98	92
363s	14.1	99	99
365s	15.5	97	93
366s	14.9	94	93
367s	14.6	95	91
369s	15.1	95	93
370s	14.7	95	91
371s	14.5	92	91
373s	15.0	94	90
374s	14.8	100	95
375s	14.7	99	92
377s	14.8	94	91
378s	14.6	96	91
379s	13.4	100	100
381s	14.6	99	89
