Time(s) CPU(%)  GPU(%)  Mem(GB) tps     DRd(kB/s)       Dwt(kB/s)
0s      0.1     0       11      0.00    0.00           1592.00
5s      0.1     0       11      0.00    0.00           0.00
9s      0.2     0       11      0.00    0.00           0.00
13s     1.2     0       11      39.00   0.00           4.00
18s     4.4     0       11      0.00    16884.00               0.00
22s     2.7     0       14      0.00    0.00           0.00
27s     8.4     0       17      6487.00 2035280.00             0.00
31s     3.4     0       30      8209.00 2024864.00             0.00
35s     11.6    0       40      8212.00 2035004.00             776.00
40s     7.6     0       45      8234.00 2041800.00             972.00
44s     17.8    0       51      8376.00 2035984.00             8.00
49s     6.4     0       50      8383.00 1525016.00             0.00
53s     1.9     75      48      1848.00 2039604.00             0.00
57s     36.9    95      50      8718.00 2040444.00             264.00
62s     22.7    100     52      8956.00 2032140.00             0.00
67s     20.3    100     53      9656.00 2028684.00             324.00
71s     23.4    93      55      10234.00        2027404.00             208.00
76s     26.0    100     53      10781.00        2017536.00             116.00
81s     34.8    100     53      11436.00        2013068.00             0.00
85s     14.5    100     53      5714.00 982292.00              0.00
90s     13.7    82      53      8569.00 2015108.00             0.00
95s     28.9    88      59      11682.00        2021036.00             20.00
99s     23.0    100     57      12430.00        2020736.00             8.00
104s    37.6    100     57      10927.00        2020528.00             0.00
108s    22.5    99      56      11760.00        2019780.00             0.00
113s    25.7    98      56      11916.00        2026800.00             0.00
118s    25.2    90      57      12370.00        2015756.00             16.00
122s    11.6    100     53      2852.00 241240.00              0.00
127s    15.0    100     54      12261.00        2011400.00             0.00
131s    18.6    100     58      12295.00        2003732.00             0.00
136s    21.9    99      56      12583.00        2014404.00             0.00
141s    20.2    100     59      11114.00        2022532.00             0.00
146s    24.3    99      60      10958.00        2023276.00             0.00
150s    21.6    99      60      11792.00        2017524.00             0.00
155s    19.7    99      60      11177.00        85236.00               0.00
160s    11.6    100     57      2435.00 12680.00               0.00
164s    16.4    100     60      11409.00        2019668.00             0.00
169s    25.4    100     60      11474.00        2021168.00             0.00
173s    23.5    100     61      12284.00        2023172.00             0.00
178s    14.1    100     59      11308.00        2018968.00             0.00
183s    21.4    98      60      10551.00        2018828.00             0.00
188s    27.7    100     62      10012.00        2027608.00             0.00
193s    23.0    100     61      1244.00 526180.00              0.00
198s    10.3    100     58      9520.00 2023496.00             0.00
202s    19.1    99      62      10521.00        2032712.00             0.00
207s    31.4    99      62      9657.00 2020668.00             0.00
212s    20.8    100     61      10805.00        2021480.00             0.00
217s    36.6    99      63      10770.00        2026316.00             0.00
221s    21.2    99      61      10722.00        2020712.00             0.00
226s    28.7    99      62      9961.00 1857412.00             0.00
231s    13.4    96      60      1219.00 355100.00              0.00
235s    20.5    100     60      9950.00 2033740.00             0.00
240s    18.5    100     62      10161.00        2026836.00             64.00
245s    15.1    99      60      9949.00 2039528.00             56.00
249s    24.4    97      64      9200.00 2029904.00             0.00
254s    16.9    99      62      9618.00 2028928.00             0.00
259s    20.5    100     60      9646.00 2027028.00             0.00
264s    24.0    100     62      50.00   814668.00              0.00
269s    16.0    99      60      4080.00 2036704.00             0.00
273s    23.2    100     60      9566.00 2033828.00             0.00
278s    23.6    98      61      9526.00 2031636.00             0.00
283s    23.4    100     63      9269.00 2038788.00             0.00
287s    22.2    99      63      9043.00 2031448.00             0.00
292s    20.3    100     61      8966.00 2030644.00             0.00
297s    23.4    99      63      9126.00 2044688.00             0.00
302s    12.9    99      60      53.47   528196.00              0.00
306s    18.1    96      62      8949.00 2028612.00             0.00
311s    12.8    94      61      9105.00 2029048.00             0.00
316s    26.5    99      63      8827.00 2035228.00             0.00
321s    17.4    100     61      9145.00 2034732.00             0.00
325s    20.1    100     62      9121.00 2030968.00             0.00
330s    12.5    100     62      9332.00 2033352.00             0.00
335s    5.8     87      64      731.00  35216.00               0.00
339s    2.7     87      64      144.00  409616.00              0.00
344s    5.0     87      64      464.36  50944.00               0.00
348s    3.2     87      64      486.00  23112.00               0.00
353s    3.9     87      64      257.00  24484.00               0.00
