Time(s) CPU(%)  GPU(%)  Mem(GB) tps     DRd(kB/s)       Dwt(kB/s)
0s      2.0     0       10      0.00    61848.00               304.00
4s      6.3     0       13      558.00  0.00           0.00
9s      3.1     0       15      199.00  2027788.00             140.00
13s     11.7    0       21      8134.00 2033376.00             0.00
18s     8.3     6       25      8193.00 2040784.00             588.00
22s     1.7     0       27      3429.00 20228.00               0.00
26s     1.5     1       26      8099.00 2036340.00             0.00
31s     24.4    98      28      11273.00        2016648.00             0.00
37s     22.7    96      29      11248.00        2011548.00             0.00
43s     26.4    99      30      12531.00        2014628.00             0.00
47s     16.7    85      29      13379.00        2005084.00             0.00
52s     19.4    100     30      11410.00        1998600.00             0.00
57s     16.2    99      29      4083.00 10224.00               0.00
62s     9.4     87      28      12024.00        1999112.00             0.00
67s     16.7    99      29      13645.00        1997940.00             0.00
71s     15.1    84      31      15303.00        2014260.00             72.00
76s     13.7    75      31      12177.00        2017980.00             44.00
80s     19.6    99      30      10029.00        2022068.00             0.00
85s     16.9    100     30      10567.00        2006276.00             0.00
90s     17.2    100     30      11743.00        2016940.00             88.00
94s     9.9     75      28      1791.00 269328.00              0.00
99s     17.8    75      29      12440.00        2010584.00             0.00
103s    17.4    100     30      14670.00        2006800.00             0.00
108s    22.9    96      32      12847.00        2016732.00             0.00
113s    13.9    99      29      11868.00        2003744.00             72.00
117s    14.5    100     30      14204.00        2022380.00             0.00
121s    13.7    85      30      14236.00        2008612.00             0.00
126s    13.5    87      30      13521.00        2024588.00             80.00
131s    10.4    87      29      2308.00 257780.00              0.00
135s    17.6    87      31      11265.00        2026448.00             0.00
139s    19.1    100     30      12912.00        2003716.00             0.00
144s    16.8    87      30      14148.00        2011184.00             0.00
148s    14.5    100     30      10574.00        2030088.00             72.00
153s    19.2    86      31      12030.00        2013628.00             0.00
159s    17.6    99      30      10085.00        2006696.00             0.00
164s    15.4    87      31      3289.00 250412.00              52.00
169s    6.5     62      29      1609.00 1028408.00             16.00
173s    20.3    75      31      10678.00        2020104.00             0.00
178s    17.5    100     30      11318.00        2016368.00             64.00
184s    13.9    87      30      12332.00        2013580.00             40.00
189s    19.1    100     30      12882.00        2012356.00             0.00
193s    17.2    96      31      10730.00        2015956.00             0.00
197s    19.9    100     30      11102.97        2024632.00             0.00
202s    9.1     87      28      1443.00 573760.00              0.00
206s    9.2     87      29      6777.00 2023220.00             0.00
210s    21.5    100     30      11849.00        2014396.00             0.00
216s    18.2    100     30      11638.00        2021412.00             64.00
220s    18.5    96      31      11254.00        2017600.00             72.00
225s    20.2    87      30      13344.00        2026640.00             64.00
230s    17.0    99      31      11971.00        2010960.00             64.00
235s    16.6    100     30      9931.00 1427896.00             0.00
239s    12.1    75      29      671.00  431496.00              0.00
244s    17.3    87      31      10241.00        2020524.00             0.00
248s    14.8    93      30      10382.00        2019076.00             0.00
253s    22.5    100     30      10248.00        2021388.00             0.00
257s    20.5    74      30      10603.00        2013108.00             0.00
263s    17.2    100     30      10774.00        2028008.00             0.00
267s    19.8    99      30      11970.00        2018064.00             40.00
272s    16.9    87      31      7631.00 12252.00               52.00
276s    8.0     75      29      780.00  1246600.00             16.00
281s    15.2    100     31      11468.00        2014472.00             0.00
286s    14.3    87      31      9999.00 2012668.00             0.00
290s    17.7    91      30      11583.00        2027288.00             0.00
295s    14.0    87      30      11880.00        2015768.00             0.00
300s    13.9    97      29      12483.00        2022804.00             0.00
305s    16.1    100     30      9822.00 2028332.00             0.00
309s    12.1    100     29      1336.00 723120.00              0.00
314s    8.9     62      30      1609.00 2020392.00             28.00
318s    15.4    87      30      8853.00 2025176.00             60.00
323s    17.4    88      30      9351.00 2026280.00             0.00
327s    16.6    87      31      9003.00 2028360.00             0.00
332s    17.8    87      29      10582.00        2016248.00             0.00
337s    13.7    100     30      10435.00        2028440.00             0.00
341s    19.7    87      32      8917.00 2025048.00             0.00
346s    11.9    87      30      1253.00 927604.00              0.00
350s    9.1     87      29      3361.00 2028444.00             48.00
355s    14.1    100     29      10188.00        2033100.00             52.00
360s    14.9    97      30      10513.00        2025936.00             0.00
364s    18.2    100     29      8961.00 2014855.45             0.00
368s    18.3    100     30      11250.00        2026936.00             0.00
373s    15.3    100     31      11959.00        2019652.00             0.00
378s    17.5    100     30      9787.00 2015704.00             76.00
383s    9.2     87      29      3283.00 279000.00              0.00
388s    16.0    87      30      11808.00        2028408.00             0.00
392s    13.7    87      30      9123.00 2032200.00             0.00
397s    15.1    99      30      9829.00 2022116.00             0.00
402s    19.0    99      31      11001.00        2025200.00             40.00
406s    13.2    100     29      10574.00        2025044.00             68.00
411s    19.0    99      31      10415.00        2007456.00             56.00
416s    14.4    86      30      2508.00 258744.00              52.00
422s    10.2    87      30      62.00   1418636.00             40.00
426s    17.5    99      31      9121.00 2015312.00             0.00
430s    16.4    99      31      9025.00 2030684.00             24.00
436s    22.8    87      31      8797.00 2031736.00             68.00
442s    15.9    87      30      10964.00        2028484.00             60.00
447s    14.7    87      30      9799.00 2020944.00             0.00
453s    21.8    87      31      4861.00 264624.00              52.00
457s    9.7     87      29      1430.00 301788.00              0.00
462s    14.9    100     31      10590.00        2019112.00             76.00
468s    18.8    87      30      9976.00 2025592.00             72.00
472s    18.4    100     29      8786.14 2019816.00             0.00
477s    16.7    95      29      10840.00        2024664.00             60.00
483s    14.6    99      32      10101.00        1995322.77             60.00
488s    13.4    99      30      10125.00        479340.00              0.00
493s    10.1    87      29      1231.00 300484.00              0.00
497s    23.9    100     32      9290.00 2038680.00             0.00
501s    19.1    87      31      9487.00 2025912.00             0.00
507s    18.6    100     31      10780.00        2024856.00             0.00
512s    17.1    87      30      11742.00        2012460.00             0.00
518s    14.2    87      30      10072.00        2032180.00             0.00
523s    17.0    96      31      12077.00        1105228.00             0.00
529s    13.3    93      30      1265.00 298764.00              0.00
533s    14.3    100     31      9164.00 2031188.00             0.00
537s    19.0    99      31      9521.00 2016488.00             0.00
542s    18.2    100     31      8667.00 2038812.00             0.00
547s    24.6    85      32      8619.00 2019912.00             0.00
551s    16.5    87      30      10371.00        2020292.00             0.00
556s    15.4    100     30      9421.00 2022056.00             36.00
561s    13.0    100     30      650.00  418180.00              40.00
566s    13.4    78      31      56.00   1466048.00             24.00
571s    15.8    100     30      8443.00 2032424.00             64.00
576s    15.6    99      30      10563.00        2026952.00             68.00
581s    14.3    87      30      9855.00 2029080.00             0.00
586s    9.7     87      25      1719.00 0.00           1348.00
