Time(s)	CPU(%) GPU(%) LGPU(%)
0s	0.1	0	0
1s	1.4	0	0
2s	1.1	0	0
4s	1.4	0	0
5s	1.3	0	0
6s	2.7	0	0
7s	4.2	0	0
9s	6.6	0	0
10s	9.1	0	0
11s	3.9	0	0
13s	0.2	1	0
16s	3.0	0	0
17s	37.3	0	0
19s	40.3	22	1
20s	44.6	98	97
22s	45.2	95	81
24s	44.7	100	100
26s	45.6	100	100
28s	46.3	97	86
30s	44.4	97	84
32s	41.8	99	98
35s	43.4	100	100
37s	43.6	98	86
38s	44.0	100	89
41s	42.1	97	90
43s	42.4	100	100
45s	38.7	100	100
47s	41.4	93	80
50s	45.2	99	85
53s	45.4	100	100
55s	41.0	99	86
57s	43.5	100	100
59s	42.8	99	98
61s	46.6	92	78
64s	41.3	99	98
66s	42.4	91	82
68s	43.7	99	83
71s	45.6	100	100
73s	43.4	100	90
76s	43.9	96	88
78s	42.3	100	100
80s	43.5	100	100
82s	42.8	100	100
85s	44.5	100	100
86s	46.2	100	100
88s	44.3	95	84
91s	44.0	100	95
94s	45.4	100	100
95s	44.3	99	98
97s	43.5	99	97
100s	42.8	96	83
102s	43.3	98	92
103s	43.0	97	75
106s	46.4	98	82
109s	42.9	100	99
111s	41.8	100	100
113s	42.6	96	89
115s	41.5	99	89
117s	45.2	100	100
120s	43.2	100	77
123s	44.1	100	98
125s	43.8	100	100
126s	42.5	100	98
129s	43.2	100	98
131s	40.2	98	90
134s	44.3	100	100
135s	43.4	100	100
138s	42.4	99	98
140s	44.6	100	98
143s	43.7	99	97
146s	42.2	100	100
148s	42.9	100	100
150s	43.1	100	100
152s	44.7	99	98
155s	42.4	100	100
156s	45.9	85	79
158s	42.6	99	83
161s	43.4	100	100
164s	44.0	100	98
166s	43.5	100	100
168s	43.5	100	100
170s	43.6	100	100
173s	44.6	99	85
176s	42.6	100	100
179s	43.5	100	100
181s	43.1	98	97
184s	43.2	100	100
185s	45.0	93	79
187s	44.1	100	100
190s	43.2	100	100
193s	41.9	100	100
194s	42.7	93	80
196s	43.9	98	97
199s	44.0	97	77
202s	42.3	100	100
205s	42.3	100	100
206s	42.8	99	98
208s	42.3	99	98
211s	42.9	100	99
214s	41.9	97	80
217s	40.6	98	95
218s	45.0	93	79
221s	42.7	95	76
223s	43.0	99	97
226s	44.5	100	100
228s	43.0	96	80
230s	44.8	98	97
232s	41.8	100	94
235s	43.3	100	100
236s	45.4	96	78
238s	43.7	100	100
241s	43.1	100	98
244s	45.1	90	77
247s	43.9	97	83
249s	39.4	100	98
251s	45.6	95	80
253s	42.5	100	100
255s	43.1	94	82
258s	43.1	97	83
260s	41.2	100	100
262s	45.2	100	100
264s	41.4	100	98
267s	42.6	100	97
269s	41.7	100	100
271s	45.2	98	98
273s	43.6	99	98
276s	46.1	100	100
278s	43.6	100	100
280s	47.8	100	100
282s	43.5	100	100
285s	46.7	95	79
288s	45.0	100	100
291s	44.9	100	100
292s	44.4	98	95
294s	40.1	99	78
297s	42.7	96	79
300s	42.2	100	100
303s	42.0	97	80
304s	42.4	100	100
307s	44.9	100	100
309s	43.3	97	83
312s	43.6	100	100
314s	41.0	98	98
316s	42.8	100	98
319s	43.6	100	100
321s	43.1	100	100
323s	42.8	100	97
325s	43.5	100	84
328s	43.1	99	83
331s	42.2	100	93
333s	43.4	100	100
334s	43.7	100	100
337s	43.0	100	100
339s	44.4	100	100
341s	43.5	89	82
343s	44.4	99	77
346s	41.7	96	80
349s	41.6	99	91
352s	44.7	96	86
354s	45.6	100	98
356s	42.7	98	78
358s	42.5	100	100
361s	40.7	99	98
363s	44.5	100	100
365s	43.0	100	100
367s	46.9	100	100
370s	42.0	100	100
371s	43.8	100	98
373s	41.0	100	98
376s	46.1	100	100
379s	41.2	98	86
380s	39.9	100	100
382s	33.4	40	1
384s	30.8	0	0
385s	35.2	0	0
387s	33.6	0	0
388s	33.6	0	0
389s	33.1	0	0
391s	33.9	0	0
392s	35.0	0	0
394s	34.4	0	0
395s	32.2	0	0
397s	35.2	0	0
398s	36.1	0	0
400s	35.9	0	0
401s	31.8	0	0
403s	31.5	0	0
404s	35.3	0	0
406s	31.5	0	0
407s	34.9	0	0
408s	33.4	0	0
410s	34.6	0	0
411s	30.6	0	0
413s	31.0	0	0
414s	33.7	0	0
416s	31.4	0	0
417s	30.4	0	0
419s	32.7	0	0
420s	31.4	0	0
422s	34.6	0	0
423s	33.5	0	0
425s	32.3	0	0
426s	32.3	0	0
428s	32.5	0	0
429s	32.5	0	0
430s	36.7	0	0
432s	32.9	0	0
433s	33.3	0	0
435s	30.1	0	0
436s	33.2	0	0
438s	34.3	0	0
439s	33.1	0	0
441s	34.0	0	0
442s	33.3	0	0
444s	32.3	0	0
445s	32.5	0	0
447s	32.2	0	0
448s	32.1	0	0
449s	34.3	0	0
451s	33.9	0	0
452s	32.9	0	0
454s	30.6	0	0
455s	30.5	0	0
457s	32.4	0	0
458s	36.4	0	0
