iteration,throughput(MBs),iteration_time,time_diff,iter_persec
16,"8,93785553","5,480547905","5,480342627","2,920066409"
16,"9,025080872","5,672194004","5,671712399","2,821542944"
16,"9,118847656","5,516790628","5,516581774","2,900939266"
19,"10,31336365","5,982000113","5,981761217","3,176734053"
39,"11,17745056","10,70818186","5,034915447","4,568813626"
39,"11,80069885","10,5168345","5,03518343","4,568739192"
39,"11,95845032","10,5531528","5,035161018","4,56894216"
42,"11,78744202","11,0256474","5,043399572","4,583079892"
60,"11,20260468","16,71622562","6,007705927","3,495953079"
60,"11,06818848","16,56119061","6,007852316","3,495820156"
60,"11,79419708","16,5254755","6,008538008","3,495399807"
63,"11,1147522","16,02939939","5,003465176","4,197708742"
82,"12,20567474","21,73470426","5,018181324","4,384758372"
82,"11,73649445","21,57948661","5,018092394","4,385016333"
82,"11,62854614","21,54357529","5,017924786","4,385306837"
84,"11,00687866","21,99410963","5,964521885","3,521284992"
104,"11,55861359","27,53558946","5,991827965","3,672112568"
104,"11,53378754","27,72740197","5,992338657","3,671937216"
104,"11,71172638","27,57214975","5,992520094","3,672014223"
107,"12,13598633","27,02865815","5,034285307","4,569363733"
127,"12,15311432","32,75615931","5,028640032","4,574534537"
127,"11,87463989","32,60093975","5,028599501","4,574715675"
127,"11,33151245","32,56483316","5,028911829","4,574000752"
128,"11,36374512","32,96592999","5,937044621","3,537467392"
148,"11,07479401","38,50458765","5,939504147","3,536134983"
148,"11,52628937","38,69637656","5,940109015","3,535774005"
148,"11,22748718","38,54094553","5,93994832","3,535658899"
151,"12,24278259","37,99620938","5,030002356","4,573360416"
170,"11,82945709","43,54566574","5,004673004","4,396533343"
170,"11,7082077","43,7013042","5,004655123","4,39681448"
170,"10,66024933","43,50984192","5,005178452","4,396307537"
172,"11,15267029","43,95786834","5,961434603","3,523124745"
191,"11,01111908","49,48353529","5,937614202","3,537243786"
191,"10,56836243","49,63917351","5,937814951","3,537219211"
191,"10,47791901","49,44775629","5,937720537","3,537368797"
195,"12,56542358","48,98573399","5,027591467","4,575442541"
214,"11,30010681","54,65004897","5,010755539","4,590885443"
214,"12,32887726","54,45866323","5,010666847","4,591044281"
214,"12,17874146","54,49501085","5,011174917","4,590931761"
216,"11,10514526","54,90284491","5,91686511","3,549718267"
236,"11,8059967","60,45929456","6,000498056","3,666816161"
236,"11,25653076","60,49564481","6,000463724","3,667021627"
236,"12,07254181","60,65126991","6,000878811","3,666810187"
238,"11,39060364","59,90926743","5,006150961","4,395309913"
258,"12,03753357","65,46158147","5,001973391","4,39897868"
258,"11,94519196","65,65337706","5,001899958","4,399231606"
258,"12,060289","65,49810481","5,002356052","4,399081022"
260,"11,71593323","65,90833759","5,998813391","3,667934697"
279,"11,66567993","71,4200232","5,921732664","3,546730752"
279,"11,1137558","71,57572293","5,92223525","3,546479985"
279,"11,16242371","71,38430738","5,922416687","3,546554526"
283,"12,09692688","70,93035412","5,021715641","4,580850941"
302,"12,46007385","76,46480179","5,044421911","4,56022584"
302,"11,29190674","76,428864","5,044347525","4,56042719"
302,"12,74203186","76,62066245","5,04481864","4,560209026"
303,"10,22461243","76,83790088","5,907280922","3,386239285"
319,"8,927545166","82,39211011","5,963121414","2,851239072"
319,"8,772906494","82,42842078","5,963297129","2,851194835"
319,"8,37774353","82,58400989","5,963167667","2,851339066"
322,"9,734794617","81,88609362","5,047869682","3,764552584"
342,"12,52835388","87,61216712","5,027973175","4,575080598"
342,"12,07901611","87,45693731","5,028441906","4,574821979"
342,"11,93903961","87,4211328","5,028799295","4,574785748"
344,"11,72185516","87,86808872","5,98174572","3,678355899"
365,"12,45324249","93,6533668","6,040864944","3,807900147"
365,"12,42470398","93,49806309","6,040994644","3,807903604"
365,"11,93308411","93,46198487","6,040659189","3,807807108"
366,"11,95102234","92,86907315","5,000735998","4,399853768"
385,"10,15825195","99,31077743","5,848562002","3,420047208"
385,"11,07245483","99,50256395","5,849119425","3,419808929"
385,"10,77070923","99,34728193","5,849163055","3,41987348"
385,"10,38789368","98,67032313","5,800979853","3,275906669"
401,"8,053417969","105,0248561","5,522058487","2,897870593"
401,"8,397357178","104,8334141","5,522231817","2,897685655"
401,"8,480989075","104,1926439","5,522140026","2,897881855"
401,"8,622283936","104,8697617","5,522420406","2,897549782"
424,"11,9249939","110,0627809","5,037710428","4,56605881"
424,"11,89404907","109,9074113","5,037567616","4,566110247"
424,"11,73282013","109,8713026","5,03779459","4,565931951"
424,"12,19207458","109,2303407","5,037489653","4,566167521"
444,"11,05299225","115,7881541","5,880683661","3,401265181"
444,"10,69518738","115,7521851","5,880584717","3,401412059"
444,"10,72177277","115,9439499","5,881114006","3,401207949"
444,"10,10741882","115,1113989","5,880968571","3,401239806"
467,"11,49506226","120,7817857","5,02950716","4,573524766"
467,"11,53067932","120,8180954","5,029683352","4,573502866"
467,"11,90750427","120,9737072","5,029539347","4,573806225"
467,"11,85406952","120,1411979","5,029711723","4,573520646"
488,"11,48943024","126,7553618","5,973296404","3,515908879"
488,"11,38865509","126,9469793","5,97322607","3,515931475"
488,"11,07910461","126,1144562","5,973061562","3,515984808"
488,"10,41825409","126,7917023","5,973481655","3,515921089"
511,"12,12516022","131,990696","5,043610096","4,560703374"
511,"12,50202637","131,8354237","5,043498993","4,56097075"
511,"11,84707947","131,7994683","5,043987274","4,560737441"
511,"11,90612793","131,1585617","5,044028044","4,560592767"
532,"10,21462555","137,7576408","5,922078371","3,546386742"
532,"10,21279144","137,9131358","5,922132492","3,546318347"
532,"10,8791153","137,0805914","5,921789169","3,54645928"
532,"11,25780182","137,722589","5,923077106","3,545788416"
555,"12,3339859","143,7759833","6,018269062","3,822148542"
555,"11,61490936","143,9316318","6,018186092","3,822258639"
555,"11,1348053","143,0992308","6,018563271","3,822048446"
555,"11,68518066","143,7402012","6,017381191","3,822681063"
577,"10,74381714","148,760181","5,019908667","4,383029063"
577,"11,99138794","148,1192436","5,019812346","4,383022609"
577,"11,92726898","148,7963738","5,020135403","4,382708886"
577,"11,06470032","148,9518225","5,020129681","4,382830872"
598,"10,98982239","154,7049003","5,944664955","3,532874805"
598,"11,2584549","154,8967049","5,94454813","3,533004751"
598,"11,09580841","154,7412639","5,944823503","3,532902437"
598,"11,71849213","154,064158","5,9448421","3,53282691"
620,"11,96019135","159,7064681","5,001440525","4,39914268"
620,"11,15885315","159,8982682","5,001501083","4,399251951"
620,"12,06981201","159,7429643","5,001453876","4,399440932"
620,"11,59644623","159,0658772","5,001617432","4,39926055"
642,"10,86584625","165,7308199","6,024060965","3,652351919"
642,"11,13251953","165,9224868","6,024138451","3,652251594"
642,"11,75479584","165,0899465","6,024000406","3,652340787"
642,"11,35068207","165,7671456","6,02393055","3,652243643"
658,"8,469108582","171,1170495","5,386169672","2,970876988"
658,"8,131460571","170,4763377","5,386318207","2,970947221"
658,"7,795930481","171,3090923","5,386547565","2,970920917"
658,"8,15025177","171,1536796","5,386224031","2,97097471"
684,"14,07140808","176,2919095","5,174501419","5,025084387"
684,"13,15738831","176,3285925","5,174686432","5,024859789"
684,"13,50789948","175,6516411","5,175173759","5,024895446"
684,"14,12272034","176,4843502","5,175207376","5,024882943"
707,"12,42530212","181,3162189","5,0240345","4,578797143"
707,"11,92384338","181,352562","5,023778915","4,579156413"
707,"12,4017868","181,508153","5,023617983","4,579454436"
707,"12,33229218","180,6758144","5,024117947","4,579053821"
727,"10,54039764","187,2193563","5,902686834","3,388696889"
727,"10,97362213","187,2557611","5,902950525","3,388657328"
727,"10,88177185","187,4113915","5,903106451","3,388475003"
727,"11,00405579","186,5788558","5,9028337","3,388761366"
750,"12,30809937","192,4489837","5,037533045","4,566158876"
750,"12,18982697","192,2575748","5,037892818","4,566020125"
750,"12,56352386","192,2938621","5,038029432","4,565996785"
750,"12,48513489","191,6168294","5,037768841","4,56612127"
771,"11,55572357","198,1951828","5,937523842","3,537132278"
771,"11,30298767","198,386806","5,937548399","3,537075745"
771,"11,08801117","198,2313979","5,937473059","3,537006715"
771,"11,15253448","197,5542846","5,937256813","3,537198187"
794,"11,98364563","203,2293103","5,034072638","4,569322394"
794,"12,16017914","203,2658625","5,034165382","4,56956892"
794,"12,07268524","202,5887904","5,034409046","4,569252489"
794,"11,93408966","203,4214079","5,034547091","4,569335813"
815,"11,43828583","209,3597555","5,938156843","3,536759025"
815,"11,69090576","209,1681788","5,938435555","3,53650924"
815,"11,41101227","209,2043598","5,938427448","3,536526137"
815,"11,11261597","208,527267","5,938399076","3,536524859"
837,"11,60637817","214,2175062","5,012839079","4,389110897"
837,"12,02508392","214,181361","5,013103247","4,388976661"
837,"11,82914581","214,3730023","5,013168573","4,388856211"
837,"12,0414856","213,540453","5,013100147","4,388774383"
857,"11,17797241","220,0677493","5,886319637","3,398056184"
857,"11,01030273","220,103925","5,886348486","3,397981993"
857,"10,87615814","219,4268303","5,886298895","3,397953639"
857,"10,89825287","220,2596138","5,886281013","3,398204851"
879,"11,23801117","225,1072106","5,039411306","4,366292872"
879,"11,97265625","225,2989531","5,039123058","4,366561683"
879,"11,87356262","225,1436427","5,039347887","4,366478205"
879,"12,1804306","224,4666924","5,039785147","4,366168911"
902,"12,54342804","231,1532776","6,045724392","3,804769994"
902,"12,6130188","231,345149","6,045984268","3,804743883"
902,"11,70540314","231,1898952","6,046186924","3,804728577"
902,"12,57449646","230,5129383","6,046016932","3,804887646"
925,"11,93618164","236,3816583","5,036250114","4,567449751"
925,"12,64588623","236,1902254","5,036428928","4,567544255"
925,"12,58332062","236,2265735","5,036621571","4,567434613"
925,"12,32142792","235,5494742","5,036318779","4,567529117"
946,"10,62876129","242,1200328","5,929688454","3,541822964"
946,"10,40815735","242,3120475","5,930100203","3,54166403"
946,"11,02091522","242,1567748","5,93001318","3,54182624"
946,"11,15753174","241,4803555","5,930822611","3,541245256"
969,"12,00221405","247,3174326","5,005298138","4,595686241"
969,"12,40768738","247,1621501","5,005147696","4,595968245"
969,"11,65306854","247,1261036","5,005795717","4,59557612"
969,"11,70885468","246,485316","5,004756927","4,596499286"
989,"10,65004883","253,010237","5,884081364","3,399379225"
989,"10,66335754","253,2020912","5,884345055","3,399282385"
989,"10,94341736","252,3696976","5,884208202","3,399367791"
989,"10,42996826","253,0474246","5,885098219","3,398949619"
1012,"12,59264526","258,0355456","5,025000572","4,577813511"
1012,"12,22880554","258,0719066","5,024245977","4,57864002"
1012,"11,75852509","258,2275","5,025347471","4,577755076"
1012,"11,78624268","257,3951406","5,025210142","4,577939945"
1031,"10,03705292","263,8829319","5,846946478","3,249921598"
1031,"9,926000977","264,074707","5,847105026","3,249884754"
1031,"10,51324463","263,9194505","5,847297907","3,249835055"
1031,"10,42025299","263,2428493","5,847542286","3,249584065"
1054,"11,91859894","269,08904","5,014200211","4,587688735"
1054,"11,39857788","268,8975859","5,014345884","4,587678044"
1054,"11,35785522","268,933949","5,014308453","4,58789579"
1054,"11,20138702","268,2570329","5,013998985","4,588214154"
1075,"11,61501312","274,1993022","5,942047358","3,534443722"
1075,"10,6140152","274,8404632","5,942578793","3,534467691"
1075,"10,32456055","275,0322156","5,942750216","3,534296652"
1075,"11,56003723","274,8768616","5,942825317","3,534427412"
1098,"11,75225067","279,8479044","5,00724864","4,59398466"
1098,"12,33866272","280,0397804","5,00750494","4,593906998"
1098,"11,93244476","279,8844776","5,007421494","4,594107832"
1098,"11,92550201","279,2075353","5,007829666","4,593768305"
1119,"11,69323425","285,8099649","5,961589098","3,523001443"
1119,"11,59406281","286,0017867","5,96182251","3,522933244"
1119,"11,35847931","285,8465164","5,961985588","3,522775154"
1119,"11,46027069","285,1694229","5,961688042","3,523018776"
1142,"12,18921967","290,8313746","5,021113157","4,581089793"
1142,"12,79102173","291,0230539","5,021181345","4,581000166"
1142,"12,08766937","290,8676214","5,020925999","4,581239469"
1142,"11,84450989","290,1905506","5,021054029","4,581039758"
1162,"10,62029419","296,7115502","5,880117178","3,401589434"
1162,"10,92136993","296,7477231","5,880045891","3,40160847"
1162,"10,83467102","296,9031799","5,880069017","3,401526399"
1162,"10,70939178","296,0708859","5,879955769","3,401653989"
1185,"12,48242798","301,7180018","5,006397486","4,594855756"
1185,"11,86306763","301,0773628","5,006283283","4,595052296"
1185,"11,83652954","301,7545979","5,00660038","4,595050326"
1185,"12,83932495","301,9102144","5,006969452","4,594844594"
1205,"10,76278687","307,6572556","5,902554274","3,388670333"
1205,"10,86231537","307,8128948","5,902477503","3,388840768"
1205,"10,43314972","307,6214638","5,902937889","3,388786966"
1205,"10,9063797","306,9806745","5,903083086","3,388310079"
1228,"11,73820953","312,6749737","5,017407179","4,584469023"
1228,"11,44670258","312,6389706","5,0174613","4,584560311"
1228,"12,2598938","312,8305891","5,017573357","4,584400179"
1228,"12,0239151","311,9980552","5,017146587","4,584744641"
1248,"10,38534851","318,5360172","5,896999359","3,391825823"
1248,"10,8867569","318,7278922","5,897247314","3,391828018"
1248,"10,78488007","318,5727792","5,897694588","3,391771789"
1248,"10,52629242","317,8958495","5,897558928","3,391827332"
1270,"11,73781586","323,5583122","5,021946669","4,381195442"
1270,"12,11834106","323,7499251","5,021941662","4,381192946"
1270,"11,34662323","323,594619","5,021781683","4,381503956"
1270,"12,12011871","322,9175909","5,021529198","4,381391613"
1292,"11,82230377","329,6279345","6,033269644","3,64675544"
1292,"12,28929749","329,5919893","6,033558846","3,646724742"
1292,"11,67026367","329,7836111","6,033578396","3,64666623"
1292,"11,66699371","328,95119","6,033363581","3,646865985"
1314,"12,24998169","334,7948864","5,011214972","4,390561083"
1314,"12,06430817","334,6036518","5,011618614","4,390555442"
