epoch,iteration,throughput(MBs),iteration_time,time_diff,iter_persec
1,4,20.0,5.343494415283203,5.270542144775391, 0.7589737984826329
1,4,20.0,5.397754907608032,5.270448684692383, 0.758987875984145
1,4,20.0,5.398505210876465,5.270413637161255, 0.7589934384579471
1,4,20.0,5.3435163497924805,5.270678758621216, 0.758968030291378
1,11,28.0,10.899688959121704,5.556142568588257, 1.2599374342515932
1,11,28.0,10.95411491394043,5.556315660476685, 1.259900182525956
1,11,28.0,10.9548659324646,5.556314945220947, 1.2598987227789469
1,11,28.0,10.899867057800293,5.55632758140564, 1.2598993174902828
1,18,28.0,16.329450368881226,5.429723024368286, 1.289281210415485
1,18,28.0,16.329702377319336,5.429782390594482, 1.2892681323069644
1,18,28.0,16.38480544090271,5.429894685745239, 1.289264452367551
1,18,28.0,16.384087324142456,5.42992639541626, 1.2892569793244657
2,6,28.0,22.55635905265808,5.446903467178345, 1.101611333430045
2,6,28.0,22.55664849281311,5.447025775909424, 1.1015931540186041
2,6,28.0,22.61093044281006,5.445362329483032, 1.101935143180103
2,6,28.0,22.611746311187744,5.4470531940460205, 1.10160443772059
2,13,28.0,28.230536699295044,5.674134969711304, 1.233737842944849
2,13,28.0,28.285796880722046,5.674015045166016, 1.2337734080799536
2,13,28.0,28.23095440864563,5.674268960952759, 1.2337296518485568
2,13,28.0,28.285322666168213,5.674363374710083, 1.233740901673254
2,19,24.0,33.33071422576904,5.045339584350586, 1.1892912004548128
2,19,24.0,33.331520318984985,5.045687437057495, 1.189214037719415
2,19,24.0,33.27637791633606,5.04579758644104, 1.189191110008933
2,19,24.0,33.27685737609863,5.0458598136901855, 1.1892067884212618
3,6,28.0,38.73346519470215,5.456716775894165, 1.0996226362000698
3,6,28.0,38.78792381286621,5.454242944717407, 1.1001244872610718
3,6,28.0,38.78874182701111,5.4567952156066895, 1.0996134590902131
3,6,28.0,38.73375463485718,5.456500768661499, 1.0996750111198346
3,13,28.0,44.24669170379639,5.458739280700684, 1.2824229371349496
3,13,28.0,44.19226789474487,5.458759069442749, 1.2824196322564172
3,13,28.0,44.247546672821045,5.458763122558594, 1.2824316195241152
3,13,28.0,44.19270086288452,5.4589173793792725, 1.2824277544460323
4,6,28.0,54.348007917404175,5.477336645126343, 1.095486941822733
4,6,28.0,54.402342319488525,5.476261854171753, 1.095709687062672
4,6,28.0,54.348039865493774,5.4777162075042725, 1.0954358233611963
4,6,28.0,54.403265953063965,5.477802991867065, 1.0954278603736276
4,13,28.0,59.88240957260132,5.480025053024292, 1.2774491227430507
4,13,28.0,59.828187465667725,5.480124235153198, 1.2774232779269354
4,13,28.0,59.883206367492676,5.4799017906188965, 1.277488197644315
4,13,28.0,59.82810568809509,5.480025768280029, 1.2774571820931566
4,19,24.0,64.863609790802,5.035463333129883, 1.1916303834632405
4,19,24.0,64.86381459236145,5.035599231719971, 1.191593821150299
4,19,24.0,64.91821193695068,5.035758972167969, 1.191577402693478
4,19,24.0,64.91898274421692,5.035745143890381, 1.1915839474536498
5,5,24.0,69.98702812194824,5.122846841812134, 0.9761034883279842
5,5,24.0,70.04128646850586,5.121220111846924, 0.9764120236448713
5,5,24.0,70.04209852218628,5.122758388519287, 0.9761342921935816
5,5,24.0,69.98706293106079,5.12310528755188, 0.9760778199250657
5,12,28.0,75.51248908042908,5.471147775650024, 1.2795149160457095
5,12,28.0,75.45805644989014,5.470957040786743, 1.2795598054537163
5,12,28.0,75.45827555656433,5.471194744110107, 1.2795047118122131
5,12,28.0,75.51360893249512,5.4714672565460205, 1.2794913294576014
5,19,28.0,80.98593616485596,5.47341251373291, 1.278987297394005
5,19,28.0,80.93172645568848,5.473414182662964, 1.2789889131399115
5,19,28.0,80.93158888816833,5.4734907150268555, 1.2789730901488703
5,19,28.0,80.98677802085876,5.4731340408325195, 1.2790612916005684
6,6,28.0,86.46674990653992,5.479208469390869, 1.095097665240323
6,6,28.0,86.41261625289917,5.480650186538696, 1.0948205351415443
6,6,28.0,86.41251635551453,5.480591058731079, 1.094839825370826
6,6,28.0,86.46817517280579,5.481076717376709, 1.0948076277380931
6,13,28.0,91.88052344322205,5.4678733348846436, 1.2802706487328974
6,13,28.0,91.93477606773376,5.467986106872559, 1.280240893541457
6,13,28.0,91.93553304672241,5.467312574386597, 1.280407998311055
6,13,28.0,91.88037943840027,5.46782660484314, 1.2802927566750122
7,6,28.0,102.44370222091675,5.796554327011108, 1.035157639700675
7,6,28.0,102.38857817649841,5.7965192794799805, 1.035170882133334
7,6,28.0,102.44314360618591,5.795006990432739, 1.0354540361512012
7,6,28.0,102.3889307975769,5.7968058586120605, 1.0351369464167892
7,13,28.0,107.87542724609375,5.486802577972412, 1.2758624136134968
7,13,28.0,107.93060636520386,5.48685097694397, 1.2758502716275995
7,13,28.0,107.92987251281738,5.486677646636963, 1.2758908012585373
7,13,28.0,107.87567281723022,5.486692905426025, 1.275890745812687
8,6,28.0,118.06903076171875,5.497484922409058, 1.0914688616710329
8,6,28.0,118.06924223899841,5.497520923614502, 1.0914637965094078
8,6,28.0,118.12424397468567,5.49751353263855, 1.0914602461904992
8,6,28.0,118.12350702285767,5.4959330558776855, 1.0917801042486794
8,13,28.0,123.56241464614868,5.493340730667114, 1.274328920742729
8,13,28.0,123.61685466766357,5.493315935134888, 1.2743367195269593
8,13,28.0,123.56274890899658,5.493473768234253, 1.2743129362989105
8,13,28.0,123.61801934242249,5.493740081787109, 1.274296786333869
9,6,28.0,133.77758526802063,5.5062196254730225, 1.0897293095369476
9,6,28.0,133.7778239250183,5.506231069564819, 1.0897333676690226
9,6,28.0,133.83209490776062,5.504753828048706, 1.090023366407771
9,6,28.0,133.8329246044159,5.506310939788818, 1.0897238358252832
9,13,28.0,139.3224503993988,5.489490747451782, 1.2752261301381704
9,13,28.0,139.2672758102417,5.4896464347839355, 1.2751909596651823
9,13,28.0,139.26745080947876,5.489596366882324, 1.2752017598402496
9,13,28.0,139.32176160812378,5.4896368980407715, 1.2751947812446767
10,6,28.0,149.46787881851196,5.484619379043579, 1.0940160952690103
10,6,28.0,149.4681305885315,5.4843127727508545, 1.0940845375115025
10,6,28.0,149.5224471092224,5.4827024936676025, 1.0944149309751858
10,6,28.0,149.52356123924255,5.4850122928619385, 1.0940000679896715
10,13,28.0,154.9671187400818,5.499197959899902, 1.2729609106452107
10,13,28.0,155.02167439460754,5.49919056892395, 1.2729843122710556
10,13,28.0,154.96768260002136,5.49951696395874, 1.2729406004975719
10,13,28.0,155.02305912971497,5.4994566440582275, 1.2730093154305182
11,6,28.0,165.22070217132568,5.492167949676514, 1.0925389004265342
11,6,28.0,165.16645741462708,5.494154691696167, 1.0921471182711684
11,6,28.0,165.22146916389465,5.494075536727905, 1.0921638970777403
11,6,28.0,165.16636729240417,5.494320869445801, 1.0921192969229976
11,12,24.0,170.22620034217834,5.0597991943359375, 1.1865903507925282
11,12,24.0,170.22642827033997,5.059923887252808, 1.186574461557307
11,12,24.0,170.2808756828308,5.060117721557617, 1.1865675241373597
11,12,24.0,170.28161239624023,5.060102939605713, 1.1865487823197243
11,19,28.0,175.76758766174316,5.485934734344482, 1.276057936950148
11,19,28.0,175.7124240398407,5.48618221282959, 1.276007802736312
11,19,28.0,175.71268892288208,5.486233711242676, 1.2759975434546762
11,19,28.0,175.76712822914124,5.486225366592407, 1.2760298746149654
12,6,28.0,181.254230260849,5.486342430114746, 1.0936819499712844
12,6,28.0,181.19905924797058,5.486374855041504, 1.0936766265989526
12,6,28.0,181.19926166534424,5.48623251914978, 1.0937017229508041
12,6,28.0,181.25354146957397,5.484594821929932, 1.0940366888721527
12,13,28.0,186.67922163009644,5.480118751525879, 1.2774049926564761
12,13,28.0,186.73372960090637,5.480159044265747, 1.2774072157617093
12,13,28.0,186.67948007583618,5.480182886123657, 1.2774016580131349
12,13,28.0,186.73456811904907,5.480293035507202, 1.277392376680834
13,6,28.0,196.8773090839386,5.491256475448608, 1.0926975803044552
13,6,28.0,196.9317512512207,5.489845514297485, 1.0929806145073062
13,6,28.0,196.8775339126587,5.491283178329468, 1.092695065734756
13,6,28.0,196.93266463279724,5.491420745849609, 1.0926809274262617
13,13,28.0,202.36804819107056,5.490696430206299, 1.2749394504105647
13,13,28.0,202.36824345588684,5.490681171417236, 1.2749476995805544
13,13,28.0,202.42344403266907,5.4907519817352295, 1.2749543986494922
13,13,28.0,202.42271852493286,5.490933656692505, 1.274912378381228
14,6,28.0,212.63228797912598,5.496402263641357, 1.0916886497466034
14,6,28.0,212.63154816627502,5.494872808456421, 1.091993052261688
14,6,28.0,212.57712268829346,5.4964165687561035, 1.0916875605310412
14,6,28.0,212.57733988761902,5.4962379932403564, 1.0917316518194145
14,13,28.0,218.06756496429443,5.490392446517944, 1.2750215039516593
14,13,28.0,218.12273502349854,5.4903905391693115, 1.2750205626568256
14,13,28.0,218.06777930259705,5.490406036376953, 1.2750271517498477
14,13,28.0,218.12213945388794,5.490541458129883, 1.2750048377016245
15,6,28.0,228.33288884162903,5.488542556762695, 1.0932374843285313
15,6,28.0,228.27772760391235,5.488554239273071, 1.093237769278909
15,6,28.0,228.27798771858215,5.488514423370361, 1.0932494523722889
15,6,28.0,228.3323004245758,5.486754894256592, 1.0936089482398992
15,13,28.0,233.7727026939392,5.494943141937256, 1.273957842159134
15,13,28.0,233.82789134979248,5.494957208633423, 1.2739575104913372
15,13,28.0,233.77291297912598,5.494891405105591, 1.2739705009424565
15,13,28.0,233.82724142074585,5.494903326034546, 1.273976636949787
16,5,24.0,243.50667142868042,5.009934186935425, 0.9980854045039278
16,5,24.0,243.56109881401062,5.008246421813965, 0.998420353539922
16,5,24.0,243.50691032409668,5.01009202003479, 0.9980601344518475
16,5,24.0,243.56232810020447,5.009776592254639, 0.9981769479056034
16,12,28.0,249.00823712348938,5.501521110534668, 1.2724557226561357
16,12,28.0,249.06342029571533,5.501038551330566, 1.272571929474163
16,12,28.0,249.0626974105835,5.5015459060668945, 1.272456494724421
16,12,28.0,249.008718252182,5.50177526473999, 1.2724128743352148
16,19,28.0,254.50523853302002,5.496957063674927, 1.2735109659399761
16,19,28.0,254.5604739189148,5.497007846832275, 1.2735108554615724
16,19,28.0,254.55977129936218,5.497041463851929, 1.273498040096796
16,19,28.0,254.50558423995972,5.496833562850952, 1.2735535015498158
17,6,28.0,260.03578782081604,5.530280590057373, 1.0850028457487755
17,6,28.0,260.0359809398651,5.530091762542725, 1.08504410636404
17,6,28.0,260.0902452468872,5.52879786491394, 1.0852944506030378
17,6,28.0,260.09117245674133,5.5302839279174805, 1.0850159440168212
